;;;;;;;;;;;;;;x
ctr_title;Correct The Record;;;;;;;;;;;;;x	
ctr_desc;We are so infamous, that other countries are beginning to talk shit about our mothers to our faces! We must hire Correct the Record(TM) to counteract this and make them forget all of our misdeeds by redirecting them unto others;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
end_partition_title;End the Partition;;;;;;;;;;;;;x
end_partition_desc;Ugh, just do this to reset the tags, there's not really anything I can say that will make this fit the historical context at all, but whatever.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
remove_foreign_cores_title;Remove Foreign Claims;;;;;;;;;;;;;x
remove_foreign_cores_desc;Now that we have finally made a name for ourselves in our independence, we deny the claims that the Swiss and Germans on our land. We must invalidate their claim to rightfully own us.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
